DAY,CENTERLAT,CENTERLON,FCOUNT
1987-05-28,45.4,-73.7,4
1987-05-29,45.4,-73.7,2
1987-05-30,45.4,-73.7,2
1987-07-11,45.4,-73.7,9
1987-07-13,45.4,-73.7,4
1987-07-14,45.4,-73.7,48
1987-07-18,45.4,-73.7,16
1987-07-24,45.4,-73.7,1
1987-07-26,45.4,-73.7,3
1987-08-22,45.4,-73.7,1
1988-05-21,45.4,-73.7,2
1988-05-31,45.4,-73.7,2
1988-06-23,45.4,-73.7,24
1988-08-03,45.4,-73.7,9
1988-08-05,45.4,-73.7,11
1988-08-06,45.4,-73.7,14
1988-08-13,45.4,-73.7,11
1988-08-14,45.4,-73.7,3
1988-08-28,45.4,-73.7,2
1988-09-20,45.4,-73.7,1
1989-03-28,45.4,-73.7,1
1989-06-18,45.4,-73.7,1
1989-08-21,45.4,-73.7,4
1989-09-26,45.4,-73.7,1
1989-10-16,45.4,-73.7,1
1990-04-30,45.4,-73.7,1
1990-06-10,45.4,-73.7,2
1990-06-18,45.4,-73.7,3
1990-06-24,45.4,-73.7,1
1990-07-17,45.4,-73.7,1
1990-08-18,45.4,-73.7,1
1990-08-27,45.4,-73.7,7
1990-08-29,45.4,-73.7,1
1991-06-27,45.4,-73.7,8
1991-06-28,45.4,-73.7,19
1991-08-01,45.4,-73.7,6
1991-08-30,45.4,-73.7,5
1991-08-31,45.4,-73.7,1
1992-06-19,45.4,-73.7,4
1992-07-05,45.4,-73.7,1
1992-08-11,45.4,-73.7,1
1992-09-10,45.4,-73.7,12
1992-10-24,45.4,-73.7,1
1993-05-06,45.4,-73.7,1
1993-06-28,45.4,-73.7,4
1993-07-27,45.4,-73.7,4
1993-07-29,45.4,-73.7,21
1993-08-10,45.4,-73.7,3
1993-08-11,45.4,-73.7,1
1993-08-12,45.4,-73.7,3
1993-08-14,45.4,-73.7,3
1993-08-24,45.4,-73.7,4
1993-08-25,45.4,-73.7,1
1993-08-31,45.4,-73.7,9
1994-06-12,45.4,-73.7,2
1994-06-19,45.4,-73.7,6
1994-06-29,45.4,-73.7,24
1994-07-02,45.4,-73.7,27
1994-07-09,45.4,-73.7,12
1994-07-16,45.4,-73.7,1
1994-07-18,45.4,-73.7,1
1994-07-19,45.4,-73.7,1
1994-07-21,45.4,-73.7,107
1994-07-25,45.4,-73.7,1
1994-07-26,45.4,-73.7,3
1994-07-30,45.4,-73.7,1
1994-08-02,45.4,-73.7,1
1994-08-04,45.4,-73.7,1
1994-08-20,45.4,-73.7,9
1994-08-28,45.4,-73.7,4
1994-09-07,45.4,-73.7,3
1995-06-30,45.4,-73.7,2
1995-07-01,45.4,-73.7,1
1995-07-06,45.4,-73.7,21
1995-07-07,45.4,-73.7,2
1995-07-23,45.4,-73.7,2
1996-05-19,45.4,-73.7,6
1996-06-04,45.4,-73.7,1
1996-06-10,45.4,-73.7,3
1996-06-11,45.4,-73.7,19
1996-07-08,45.4,-73.7,1
1996-07-14,45.4,-73.7,2
1996-07-16,45.4,-73.7,8
1996-07-25,45.4,-73.7,1
1997-07-03,45.4,-73.7,15
1997-07-15,45.4,-73.7,1
1997-08-02,45.4,-73.7,8
1997-08-16,45.4,-73.7,3
1997-08-28,45.4,-73.7,1
1997-09-30,45.4,-73.7,2
1998-03-31,45.4,-73.7,1
1998-05-20,45.4,-73.7,7
1998-05-29,45.4,-73.7,1
1998-05-31,45.4,-73.7,12
1998-06-03,45.4,-73.7,1
1998-06-24,45.4,-73.7,26
1998-06-26,45.4,-73.7,5
1998-06-29,45.4,-73.7,32
1998-07-09,45.4,-73.7,3
1998-07-10,45.4,-73.7,1
1998-07-16,45.4,-73.7,1
1998-07-17,45.4,-73.7,6
1998-07-20,45.4,-73.7,1
1998-07-29,45.4,-73.7,1
1998-08-15,45.4,-73.7,6
1998-08-24,45.4,-73.7,10
1998-08-25,45.4,-73.7,3
1998-08-26,45.4,-73.7,1
1998-09-12,45.4,-73.7,4
1998-09-27,45.4,-73.7,6
1998-09-28,45.4,-73.7,1
1999-06-03,45.4,-73.7,3
1999-06-06,45.4,-73.7,13
1999-07-02,45.4,-73.7,12
1999-07-05,45.4,-73.7,40
1999-07-07,45.4,-73.7,4
1999-07-23,45.4,-73.7,2
1999-09-21,45.4,-73.7,1
1999-10-20,45.4,-73.7,1
2000-03-09,45.4,-73.7,1
